timestamp,signal_id,name,order_ref,quantity,order,symbol,asset,right,multiplier,expiry,strike,bid,ask,filled_price,credit,transaction_fee,underlier,delta,gamma,vega,theta,dividend,balance
2023-06-05 19:54:42+00:00,201,call_spread_0.2,201|call_spread_0.2|1,1,Buy-to-Open,ABBV,OPT,Call,100,6/9/2023,139.0,0.34,0.39,0.39,-39.0,0.5,136.76,0.227072,0.109876,0.042442,-0.112167,,
2023-06-05 19:54:42+00:00,201,call_spread_0.2,201|call_spread_0.2|1,-1,Sell-to-Open,ABBV,OPT,Call,100,6/9/2023,140.0,0.18,0.21,0.18,18.0,0.5,136.76,0.136597,0.07918,0.03162,-0.080981,,
2023-06-09 20:15:00+00:00,201,call_spread_0.2,201|call_spread_0.2|2,-1,Sell-to-Close,ABBV,OPT,Call,100,6/9/2023,139.0,0.34,0.39,0.0,0.0,0.0,138.19,0.0,0.0,0.0,0.0,,
2023-06-09 20:15:00+00:00,201,call_spread_0.2,201|call_spread_0.2|2,1,Buy-to-Close,ABBV,OPT,Call,100,6/9/2023,140.0,0.18,0.21,0.0,-0.0,0.0,138.19,0.0,0.0,0.0,0.0,,
2023-06-05 19:54:42+00:00,201,call_spread_0.25,201|call_spread_0.25|1,1,Buy-to-Open,ABBV,OPT,Call,100,6/9/2023,139.0,0.34,0.39,0.39,-39.0,0.5,136.76,0.227072,0.109876,0.042442,-0.112167,,
2023-06-05 19:54:42+00:00,201,call_spread_0.25,201|call_spread_0.25|1,-1,Sell-to-Open,ABBV,OPT,Call,100,6/9/2023,140.0,0.18,0.21,0.18,18.0,0.5,136.76,0.136597,0.07918,0.03162,-0.080981,,
2023-06-09 20:15:00+00:00,201,call_spread_0.25,201|call_spread_0.25|2,-1,Sell-to-Close,ABBV,OPT,Call,100,6/9/2023,139.0,0.34,0.39,0.0,0.0,0.0,138.19,0.0,0.0,0.0,0.0,,
2023-06-09 20:15:00+00:00,201,call_spread_0.25,201|call_spread_0.25|2,1,Buy-to-Close,ABBV,OPT,Call,100,6/9/2023,140.0,0.18,0.21,0.0,-0.0,0.0,138.19,0.0,0.0,0.0,0.0,,
2023-06-05 19:54:42+00:00,201,call_spread_0.3,201|call_spread_0.3|1,1,Buy-to-Open,ABBV,OPT,Call,100,6/9/2023,138.0,0.63,0.67,0.67,-67.0,0.5,136.76,0.34872,0.134237,0.053013,-0.13991,,
2023-06-05 19:54:42+00:00,201,call_spread_0.3,201|call_spread_0.3|1,-1,Sell-to-Open,ABBV,OPT,Call,100,6/9/2023,140.0,0.18,0.21,0.18,18.0,0.5,136.76,0.136597,0.07918,0.03162,-0.080981,,
2023-06-09 20:15:00+00:00,201,call_spread_0.3,201|call_spread_0.3|2,-1,Sell-to-Close,ABBV,OPT,Call,100,6/9/2023,138.0,0.63,0.67,0.19,19.0,0.0,138.19,0.0,0.0,0.0,0.0,,
2023-06-09 20:15:00+00:00,201,call_spread_0.3,201|call_spread_0.3|2,1,Buy-to-Close,ABBV,OPT,Call,100,6/9/2023,140.0,0.18,0.21,0.0,-0.0,0.0,138.19,0.0,0.0,0.0,0.0,,
2023-06-05 19:54:42+00:00,201,call_spread_0.35,201|call_spread_0.35|1,1,Buy-to-Open,ABBV,OPT,Call,100,6/9/2023,138.0,0.63,0.67,0.67,-67.0,0.5,136.76,0.34872,0.134237,0.053013,-0.13991,,
2023-06-05 19:54:42+00:00,201,call_spread_0.35,201|call_spread_0.35|1,-1,Sell-to-Open,ABBV,OPT,Call,100,6/9/2023,140.0,0.18,0.21,0.18,18.0,0.5,136.76,0.136597,0.07918,0.03162,-0.080981,,
2023-06-09 20:15:00+00:00,201,call_spread_0.35,201|call_spread_0.35|2,-1,Sell-to-Close,ABBV,OPT,Call,100,6/9/2023,138.0,0.63,0.67,0.19,19.0,0.0,138.19,0.0,0.0,0.0,0.0,,
2023-06-09 20:15:00+00:00,201,call_spread_0.35,201|call_spread_0.35|2,1,Buy-to-Close,ABBV,OPT,Call,100,6/9/2023,140.0,0.18,0.21,0.0,-0.0,0.0,138.19,0.0,0.0,0.0,0.0,,
