signal_id,signal_ts,ticker,direction,delta_target,quote_ts,expir,spot_entry,long_strike,short_strike,width,debit,risk_reward,spot_exit,payoff,pnl,return
601,2023-09-12 15:05:00+00:00,DIS,call,0.1,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,87.0,88.0,1.0,0.04,24.0,85.5,0.0,-0.04,-1.0
601,2023-09-12 15:05:00+00:00,DIS,call,0.15,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,86.0,88.0,2.0,0.1,19.0,85.5,0.0,-0.1,-1.0
601,2023-09-12 15:05:00+00:00,DIS,call,0.2,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,86.0,88.0,2.0,0.1,19.0,85.5,0.0,-0.1,-1.0
601,2023-09-12 15:05:00+00:00,DIS,call,0.25,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,85.0,87.0,2.0,0.22,8.091,85.5,0.5,0.28,1.273
601,2023-09-12 15:05:00+00:00,DIS,call,0.3,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,85.0,87.0,2.0,0.22,8.091,85.5,0.5,0.28,1.273
601,2023-09-12 15:05:00+00:00,DIS,call,0.35,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,84.0,86.0,2.0,0.44,3.545,85.5,1.5,1.06,2.409
601,2023-09-12 15:05:00+00:00,DIS,call,0.4,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,84.0,86.0,2.0,0.44,3.545,85.5,1.5,1.06,2.409
601,2023-09-12 15:05:00+00:00,DIS,call,0.45,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,84.0,86.0,2.0,0.44,3.545,85.5,1.5,1.06,2.409
601,2023-09-12 15:05:00+00:00,DIS,call,0.5,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,84.0,86.0,2.0,0.44,3.545,85.5,1.5,1.06,2.409
601,2023-09-12 15:05:00+00:00,DIS,call,0.55,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,83.0,85.0,2.0,0.79,1.532,85.5,2.0,1.21,1.532
601,2023-09-12 15:05:00+00:00,DIS,call,0.6,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,83.0,85.0,2.0,0.79,1.532,85.5,2.0,1.21,1.532
601,2023-09-12 15:05:00+00:00,DIS,call,0.65,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,83.0,85.0,2.0,0.79,1.532,85.5,2.0,1.21,1.532
601,2023-09-12 15:05:00+00:00,DIS,call,0.7,2023-09-12 15:04:48+00:00,2023-09-15 00:00:00+00:00,83.47,83.0,85.0,2.0,0.79,1.532,85.5,2.0,1.21,1.532
602,2023-09-12 19:35:00+00:00,GTLB,call,0.55,2023-09-12 19:34:41+00:00,2023-09-15 00:00:00+00:00,52.45,52.0,54.0,2.0,0.95,1.105,48.77,0.0,-0.95,-1.0
602,2023-09-12 19:35:00+00:00,GTLB,call,0.6,2023-09-12 19:34:41+00:00,2023-09-15 00:00:00+00:00,52.45,52.0,54.0,2.0,0.95,1.105,48.77,0.0,-0.95,-1.0
