timestamp,signal_id,name,order_ref,quantity,order,symbol,asset,right,multiplier,expiry,strike,bid,ask,filled_price,credit,transaction_fee,underlier,delta,gamma,vega,theta,dividend,balance
2023-05-03 15:34:53+00:00,3,call_spread_0.3,3|call_spread_0.3|1,1,Buy-to-Open,MPC,OPT,Call,100,5/5/2023,114.0,0.7,0.77,0.77,-77.0,0.5,111.73,0.294956,0.089372,0.030261,-0.326869,,
2023-05-03 15:34:53+00:00,3,call_spread_0.3,3|call_spread_0.3|1,-1,Sell-to-Open,MPC,OPT,Call,100,5/5/2023,116.0,0.27,0.33,0.27,27.0,0.5,111.73,0.145242,0.061706,0.020665,-0.214593,,
2023-05-05 20:15:00+00:00,3,call_spread_0.3,3|call_spread_0.3|2,-1,Sell-to-Close,MPC,OPT,Call,100,5/5/2023,114.0,0.7,0.77,0.0,0.0,0.0,106.89,0.0,0.0,0.0,0.0,,
2023-05-05 20:15:00+00:00,3,call_spread_0.3,3|call_spread_0.3|2,1,Buy-to-Close,MPC,OPT,Call,100,5/5/2023,116.0,0.27,0.33,0.0,-0.0,0.0,106.89,0.0,0.0,0.0,0.0,,
2023-05-03 15:34:53+00:00,3,call_spread_0.35,3|call_spread_0.35|1,1,Buy-to-Open,MPC,OPT,Call,100,5/5/2023,113.0,1.04,1.12,1.12,-112.0,0.5,111.73,0.388722,0.096342,0.033819,-0.368507,,
2023-05-03 15:34:53+00:00,3,call_spread_0.35,3|call_spread_0.35|1,-1,Sell-to-Open,MPC,OPT,Call,100,5/5/2023,115.0,0.44,0.51,0.44,44.0,0.5,111.73,0.211263,0.077111,0.026811,-0.271481,,
2023-05-05 20:15:00+00:00,3,call_spread_0.35,3|call_spread_0.35|2,-1,Sell-to-Close,MPC,OPT,Call,100,5/5/2023,113.0,1.04,1.12,0.0,0.0,0.0,106.89,0.0,0.0,0.0,0.0,,
2023-05-05 20:15:00+00:00,3,call_spread_0.35,3|call_spread_0.35|2,1,Buy-to-Close,MPC,OPT,Call,100,5/5/2023,115.0,0.44,0.51,0.0,-0.0,0.0,106.89,0.0,0.0,0.0,0.0,,
2023-05-03 15:34:53+00:00,3,call_spread_0.4,3|call_spread_0.4|1,1,Buy-to-Open,MPC,OPT,Call,100,5/5/2023,113.0,1.04,1.12,1.12,-112.0,0.5,111.73,0.388722,0.096342,0.033819,-0.368507,,
2023-05-03 15:34:53+00:00,3,call_spread_0.4,3|call_spread_0.4|1,-1,Sell-to-Open,MPC,OPT,Call,100,5/5/2023,115.0,0.44,0.51,0.44,44.0,0.5,111.73,0.211263,0.077111,0.026811,-0.271481,,
2023-05-05 20:15:00+00:00,3,call_spread_0.4,3|call_spread_0.4|2,-1,Sell-to-Close,MPC,OPT,Call,100,5/5/2023,113.0,1.04,1.12,0.0,0.0,0.0,106.89,0.0,0.0,0.0,0.0,,
2023-05-05 20:15:00+00:00,3,call_spread_0.4,3|call_spread_0.4|2,1,Buy-to-Close,MPC,OPT,Call,100,5/5/2023,115.0,0.44,0.51,0.0,-0.0,0.0,106.89,0.0,0.0,0.0,0.0,,
2023-05-03 15:34:53+00:00,3,call_spread_0.45,3|call_spread_0.45|1,1,Buy-to-Open,MPC,OPT,Call,100,5/5/2023,112.0,1.49,1.58,1.58,-158.0,0.5,111.73,0.486259,0.097507,0.034572,-0.388414,,
2023-05-03 15:34:53+00:00,3,call_spread_0.45,3|call_spread_0.45|1,-1,Sell-to-Open,MPC,OPT,Call,100,5/5/2023,115.0,0.44,0.51,0.44,44.0,0.5,111.73,0.211263,0.077111,0.026811,-0.271481,,
2023-05-05 20:15:00+00:00,3,call_spread_0.45,3|call_spread_0.45|2,-1,Sell-to-Close,MPC,OPT,Call,100,5/5/2023,112.0,1.49,1.58,0.0,0.0,0.0,106.89,0.0,0.0,0.0,0.0,,
2023-05-05 20:15:00+00:00,3,call_spread_0.45,3|call_spread_0.45|2,1,Buy-to-Close,MPC,OPT,Call,100,5/5/2023,115.0,0.44,0.51,0.0,-0.0,0.0,106.89,0.0,0.0,0.0,0.0,,
2023-05-03 15:34:53+00:00,3,call_spread_0.5,3|call_spread_0.5|1,1,Buy-to-Open,MPC,OPT,Call,100,5/5/2023,112.0,1.49,1.58,1.58,-158.0,0.5,111.73,0.486259,0.097507,0.034572,-0.388414,,
