timestamp,signal_id,name,order_ref,quantity,order,symbol,asset,right,multiplier,expiry,strike,bid,ask,filled_price,credit,transaction_fee,underlier,delta,gamma,vega,theta,dividend,balance
2025-01-07 15:29:59+00:00,3001,call_spread_0.3,3001|call_spread_0.3|1,1,Buy-to-Open,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,0.41,-41.0,0.5,63.44,0.377249,0.214197,0.019849,-0.088665,,
2025-01-07 15:29:59+00:00,3001,call_spread_0.3,3001|call_spread_0.3|1,-1,Sell-to-Open,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.1,10.0,0.5,63.44,0.170211,0.12378,0.011638,-0.049942,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.3,3001|call_spread_0.3|2,-1,Sell-to-Close,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,1.89,189.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.3,3001|call_spread_0.3|2,1,Buy-to-Close,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.89,-89.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-07 15:29:59+00:00,3001,call_spread_0.35,3001|call_spread_0.35|1,1,Buy-to-Open,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,0.41,-41.0,0.5,63.44,0.377249,0.214197,0.019849,-0.088665,,
2025-01-07 15:29:59+00:00,3001,call_spread_0.35,3001|call_spread_0.35|1,-1,Sell-to-Open,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.1,10.0,0.5,63.44,0.170211,0.12378,0.011638,-0.049942,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.35,3001|call_spread_0.35|2,-1,Sell-to-Close,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,1.89,189.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.35,3001|call_spread_0.35|2,1,Buy-to-Close,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.89,-89.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-07 15:29:59+00:00,3001,call_spread_0.4,3001|call_spread_0.4|1,1,Buy-to-Open,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,0.41,-41.0,0.5,63.44,0.377249,0.214197,0.019849,-0.088665,,
2025-01-07 15:29:59+00:00,3001,call_spread_0.4,3001|call_spread_0.4|1,-1,Sell-to-Open,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.1,10.0,0.5,63.44,0.170211,0.12378,0.011638,-0.049942,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.4,3001|call_spread_0.4|2,-1,Sell-to-Close,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,1.89,189.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.4,3001|call_spread_0.4|2,1,Buy-to-Close,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.89,-89.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-07 15:29:59+00:00,3001,call_spread_0.45,3001|call_spread_0.45|1,1,Buy-to-Open,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,0.41,-41.0,0.5,63.44,0.377249,0.214197,0.019849,-0.088665,,
2025-01-07 15:29:59+00:00,3001,call_spread_0.45,3001|call_spread_0.45|1,-1,Sell-to-Open,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.1,10.0,0.5,63.44,0.170211,0.12378,0.011638,-0.049942,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.45,3001|call_spread_0.45|2,-1,Sell-to-Close,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,1.89,189.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.45,3001|call_spread_0.45|2,1,Buy-to-Close,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.89,-89.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-07 15:29:59+00:00,3001,call_spread_0.5,3001|call_spread_0.5|1,1,Buy-to-Open,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,0.41,-41.0,0.5,63.44,0.377249,0.214197,0.019849,-0.088665,,
2025-01-07 15:29:59+00:00,3001,call_spread_0.5,3001|call_spread_0.5|1,-1,Sell-to-Open,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.1,10.0,0.5,63.44,0.170211,0.12378,0.011638,-0.049942,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.5,3001|call_spread_0.5|2,-1,Sell-to-Close,EBAY,OPT,Call,100,1/10/2025,64.0,0.36,0.41,1.89,189.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3001,call_spread_0.5,3001|call_spread_0.5|2,1,Buy-to-Close,EBAY,OPT,Call,100,1/10/2025,65.0,0.1,0.15,0.89,-89.0,0.0,65.89,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.1,3003|call_spread_0.1|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,420.0,0.61,0.68,0.68,-68.0,0.5,400.42,0.090598,0.013153,0.072076,-0.412581,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.1,3003|call_spread_0.1|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,425.0,0.31,0.36,0.31,31.0,0.5,400.42,0.051343,0.008482,0.047797,-0.279811,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.1,3003|call_spread_0.1|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,420.0,0.61,0.68,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.1,3003|call_spread_0.1|2,1,Buy-to-Close,LULU,OPT,Call,100,1/10/2025,425.0,0.31,0.36,0.0,-0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.15,3003|call_spread_0.15|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,415.0,1.13,1.27,1.27,-127.0,0.5,400.42,0.155701,0.019026,0.099088,-0.576538,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.15,3003|call_spread_0.15|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,422.5,0.43,0.5,0.43,43.0,0.5,400.42,0.068394,0.010637,0.055318,-0.342072,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.15,3003|call_spread_0.15|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,415.0,1.13,1.27,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.15,3003|call_spread_0.15|2,1,Buy-to-Close,LULU,OPT,Call,100,1/10/2025,422.5,0.43,0.5,0.0,-0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.2,3003|call_spread_0.2|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,412.5,1.5,1.7,1.7,-170.0,0.5,400.42,0.199967,0.022068,0.116728,-0.661436,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.2,3003|call_spread_0.2|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,420.0,0.61,0.68,0.61,61.0,0.5,400.42,0.090598,0.013153,0.072076,-0.412581,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.2,3003|call_spread_0.2|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,412.5,1.5,1.7,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.2,3003|call_spread_0.2|2,1,Buy-to-Close,LULU,OPT,Call,100,1/10/2025,420.0,0.61,0.68,0.0,-0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.25,3003|call_spread_0.25|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,410.0,2.0,2.2,2.2,-220.0,0.5,400.42,0.25223,0.024905,0.129509,-0.740222,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.25,3003|call_spread_0.25|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,417.5,0.78,1.02,0.78,78.0,0.5,400.42,0.119437,0.015993,0.080796,-0.492586,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.25,3003|call_spread_0.25|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,410.0,2.0,2.2,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.25,3003|call_spread_0.25|2,1,Buy-to-Close,LULU,OPT,Call,100,1/10/2025,417.5,0.78,1.02,0.0,-0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.3,3003|call_spread_0.3|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,407.5,2.67,2.97,2.97,-297.0,0.5,400.42,0.312701,0.027227,0.138073,-0.805273,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.3,3003|call_spread_0.3|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,415.0,1.13,1.27,1.13,113.0,0.5,400.42,0.155701,0.019026,0.099088,-0.576538,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.3,3003|call_spread_0.3|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,407.5,2.67,2.97,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.3,3003|call_spread_0.3|2,1,Buy-to-Close,LULU,OPT,Call,100,1/10/2025,415.0,1.13,1.27,0.0,-0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.35,3003|call_spread_0.35|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,405.0,3.5,3.8,3.8,-380.0,0.5,400.42,0.379498,0.028839,0.14718,-0.85013,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.35,3003|call_spread_0.35|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,412.5,1.5,1.7,1.5,150.0,0.5,400.42,0.199967,0.022068,0.116728,-0.661436,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.35,3003|call_spread_0.35|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,405.0,3.5,3.8,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.35,3003|call_spread_0.35|2,1,Buy-to-Close,LULU,OPT,Call,100,1/10/2025,412.5,1.5,1.7,0.0,-0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.4,3003|call_spread_0.4|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,405.0,3.5,3.8,3.8,-380.0,0.5,400.42,0.379498,0.028839,0.14718,-0.85013,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.4,3003|call_spread_0.4|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,412.5,1.5,1.7,1.5,150.0,0.5,400.42,0.199967,0.022068,0.116728,-0.661436,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.4,3003|call_spread_0.4|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,405.0,3.5,3.8,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.4,3003|call_spread_0.4|2,1,Buy-to-Close,LULU,OPT,Call,100,1/10/2025,412.5,1.5,1.7,0.0,-0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.45,3003|call_spread_0.45|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,402.5,4.45,4.85,4.85,-485.0,0.5,400.42,0.450953,0.029574,0.150768,-0.869636,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.45,3003|call_spread_0.45|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,412.5,1.5,1.7,1.5,150.0,0.5,400.42,0.199967,0.022068,0.116728,-0.661436,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.45,3003|call_spread_0.45|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,402.5,4.45,4.85,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.45,3003|call_spread_0.45|2,1,Buy-to-Close,LULU,OPT,Call,100,1/10/2025,412.5,1.5,1.7,0.0,-0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.5,3003|call_spread_0.5|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,400.0,5.6,6.15,6.15,-615.0,0.5,400.42,0.52499,0.029323,0.148421,-0.861051,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.5,3003|call_spread_0.5|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,410.0,2.0,2.2,2.0,200.0,0.5,400.42,0.25223,0.024905,0.129509,-0.740222,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.5,3003|call_spread_0.5|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,400.0,5.6,6.15,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.5,3003|call_spread_0.5|2,1,Buy-to-Close,LULU,OPT,Call,100,1/10/2025,410.0,2.0,2.2,0.0,-0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.55,3003|call_spread_0.55|1,1,Buy-to-Open,LULU,OPT,Call,100,1/10/2025,400.0,5.6,6.15,6.15,-615.0,0.5,400.42,0.52499,0.029323,0.148421,-0.861051,,
2025-01-07 15:49:52+00:00,3003,call_spread_0.55,3003|call_spread_0.55|1,-1,Sell-to-Open,LULU,OPT,Call,100,1/10/2025,410.0,2.0,2.2,2.0,200.0,0.5,400.42,0.25223,0.024905,0.129509,-0.740222,,
2025-01-10 21:15:00+00:00,3003,call_spread_0.55,3003|call_spread_0.55|2,-1,Sell-to-Close,LULU,OPT,Call,100,1/10/2025,400.0,5.6,6.15,0.0,0.0,0.0,395.57,0.0,0.0,0.0,0.0,,
