date,ticker,t,satisfied,date.1,trigger_t,t_hourly,close,ngex,eps,timestamp,vma,regime,uband,lband,trend,sm_ngex,sm_eps,max_eps_2d,min_eps_2d,signal_time,signal_id
4/16/2024,VRTX,2024-04-16 18:55:00+00:00,True,4/16/2024,2024-04-16 18:50:00+00:00,2024-04-16 18:00:00+00:00,393.45,49.80464,99.97558,2024-04-16T17:30:00,-63235.98027,1,311538.4835,-438010.444,Bullish,0.465813144,0.943550228,0.946996696,0.934077089,2024-04-16 16:59:00+00:00,1601
4/17/2024,AIG,2024-04-17 16:00:00+00:00,True,4/17/2024,2024-04-17 15:55:00+00:00,2024-04-17 15:00:00+00:00,72.12,86.282051,99.920635,2024-04-17T13:30:00,464324.7216,1,2903211.55,-1974562.107,Bullish,1.0,0.954489691,0.975513171,0.954452542,2024-04-17 14:00:00+00:00,1602
4/17/2024,AKAM,2024-04-17 17:20:00+00:00,True,4/17/2024,2024-04-17 17:15:00+00:00,2024-04-17 17:00:00+00:00,100.67,13.638584,99.62149,2024-04-17T15:30:00,-675199.0379,1,-326467.4527,-1023930.623,Bullish,0.041892345,0.986339181,0.992645646,0.97849167,2024-04-17 16:00:00+00:00,1603
4/17/2024,APP,2024-04-17 17:10:00+00:00,True,4/17/2024,2024-04-17 17:05:00+00:00,2024-04-17 17:00:00+00:00,70.715,76.013431,99.8779,2024-04-17T15:30:00,2097445.582,1,2891565.871,1303325.293,Bullish,0.806360885,1.0,1.0,0.678955638,2024-04-17 16:00:00+00:00,1604
4/17/2024,CAT,2024-04-17 15:05:00+00:00,True,4/17/2024,2024-04-17 15:00:00+00:00,2024-04-17 15:00:00+00:00,358.68,54.542125,99.474969,2024-04-17T13:30:00,-62828.63778,1,3105650.69,-3231307.966,Bullish,0.822533361,0.961668311,0.965052429,0.8056998,2024-04-17 14:00:00+00:00,1605
4/17/2024,COP,2024-04-17 16:15:00+00:00,True,4/17/2024,2024-04-17 16:10:00+00:00,2024-04-17 16:00:00+00:00,128.57,97.094017,99.97558,2024-04-17T15:30:00,5319254.982,1,6613427.16,4025082.804,Bullish,0.945827732,1.0,1.0,0.946585205,2024-04-17 15:00:00+00:00,1606
4/17/2024,CZR,2024-04-17 17:20:00+00:00,True,4/17/2024,2024-04-17 17:15:00+00:00,2024-04-17 17:00:00+00:00,38.95,63.675214,97.289377,2024-04-17T15:30:00,523276.3076,1,2137066.339,-1090513.724,Bullish,0.984934555,0.923125001,0.930714122,0.754996258,2024-04-17 16:00:00+00:00,1607
4/17/2024,DFS,2024-04-17 18:00:00+00:00,True,4/17/2024,2024-04-17 17:55:00+00:00,2024-04-17 17:00:00+00:00,119.99,56.752137,97.857143,2024-04-17T15:30:00,-175798.315,1,182193.4794,-533790.1093,Bullish,0.734791824,0.974050853,0.978289011,0.974036204,2024-04-17 16:00:00+00:00,1608
4/17/2024,DIS,2024-04-17 18:50:00+00:00,True,4/17/2024,2024-04-17 18:45:00+00:00,2024-04-17 18:00:00+00:00,113.4,92.551893,99.096459,2024-04-17T17:30:00,23322413.15,1,39149320.28,7495506.027,Bullish,1.0,0.970113673,0.985684466,0.970113673,2024-04-17 17:00:00+00:00,1609
4/17/2024,FSLR,2024-04-17 17:20:00+00:00,True,4/17/2024,2024-04-17 17:15:00+00:00,2024-04-17 17:00:00+00:00,174.425,96.434676,86.227106,2024-04-17T15:30:00,4342954.082,1,5449434.982,3236473.183,Bullish,0.871491987,0.838701267,0.838701267,0.518819095,2024-04-17 16:00:00+00:00,1610
4/17/2024,GDDY,2024-04-17 17:20:00+00:00,True,4/17/2024,2024-04-17 17:15:00+00:00,2024-04-17 17:00:00+00:00,122.31,84.566545,98.040293,2024-04-17T15:30:00,738472.5747,1,953433.9066,523511.2428,Bullish,0.930113687,1.0,1.0,0.87194339,2024-04-17 15:59:00+00:00,1611
4/17/2024,GOOG,2024-04-17 18:05:00+00:00,True,4/17/2024,2024-04-17 18:00:00+00:00,2024-04-17 18:00:00+00:00,157.42,93.357753,74.932845,2024-04-17T17:30:00,23061374.32,1,41269082.26,4853666.378,Bullish,0.934980138,0.893920234,0.894322189,0.644846716,2024-04-17 17:00:00+00:00,1612
