date,ticker,t,satisfied,date.1,trigger_t,t_hourly,close,ngex,eps,timestamp,vma,regime,uband,lband,trend,sm_ngex,sm_eps,max_eps_2d,min_eps_2d,signal_time,signal_id
12/26/2023,CVNA,2023-12-26 17:15:00+00:00,True,12/26/2023,2023-12-26 17:10:00+00:00,2023-12-26 17:00:00+00:00,53.3885,38.112908,75.750916,2023-12-26T16:30:00,-2337218.121,1,8958821.915,-13633258.16,Bullish,0.408431984,0.853654092,0.915077934,0.853654092,2023-12-26 16:00:00+00:00,1201
12/26/2023,DIS,2023-12-26 18:50:00+00:00,True,12/26/2023,2023-12-26 18:45:00+00:00,2023-12-26 18:00:00+00:00,90.88,44.104294,92.539683,2023-12-26T16:30:00,-27252980.17,1,25031120.48,-79537080.81,Bullish,0.059741273,0.986253164,0.986253164,0.645283898,2023-12-26 17:00:00+00:00,1202
12/26/2023,LLY,2023-12-26 19:50:00+00:00,True,12/26/2023,2023-12-26 19:45:00+00:00,2023-12-26 19:00:00+00:00,568.24,8.828996,96.636142,2023-12-26T18:30:00,-2592519.064,1,2701364.465,-7886402.594,Bullish,0.019294501,0.953944408,0.95669963,0.94869632,2023-12-26 18:00:00+00:00,1203
12/27/2023,HUM,2023-12-27 16:20:00+00:00,True,12/27/2023,2023-12-27 16:15:00+00:00,2023-12-27 16:00:00+00:00,450.03,75.829064,99.67033,2023-12-27T14:30:00,-1561339.302,1,-70989.59686,-3051689.007,Bullish,0.517837318,0.967533502,0.980941987,0.967533502,2023-12-27 15:00:00+00:00,1204
12/28/2023,FDX,2023-12-28 15:05:00+00:00,True,12/28/2023,2023-12-28 15:00:00+00:00,2023-12-28 15:00:00+00:00,251.775,71.926815,84.224664,2023-12-28T14:30:00,1320801.839,1,7649675.331,-5008071.652,Bullish,0.846739481,0.821964927,0.907806696,0.821309601,2023-12-27 20:59:00+00:00,1205
12/29/2023,CROX,2023-12-29 20:10:00+00:00,True,12/29/2023,2023-12-29 20:05:00+00:00,2023-12-29 20:00:00+00:00,93.64,21.59032,97.399267,2023-12-29T18:30:00,-1611065.718,1,-369119.7215,-2853011.714,Bullish,0.004795997,0.984006205,0.994064436,0.98345466,2023-12-29 19:00:00+00:00,1206
12/29/2023,TWLO,2023-12-29 18:00:00+00:00,True,12/29/2023,2023-12-29 17:55:00+00:00,2023-12-29 17:00:00+00:00,76.43,72.338752,74.96337,2023-12-29T16:30:00,3149594.057,1,5294932.921,1004255.192,Bullish,0.939592048,0.91186634,0.919886841,0.909541088,2023-12-29 16:00:00+00:00,1207
1/2/2024,AFRM,2024-01-02 15:05:00+00:00,True,1/2/2024,2024-01-02 15:00:00+00:00,2024-01-02 15:00:00+00:00,47.37,25.08924,76.129426,2024-01-02T14:30:00,-3091959.083,1,6453637.901,-12637556.07,Bullish,0.428962115,0.867970912,0.946854848,0.867970912,2023-12-29 20:59:00+00:00,1208
1/2/2024,DIS,2024-01-02 15:05:00+00:00,True,1/2/2024,2024-01-02 15:00:00+00:00,2024-01-02 15:00:00+00:00,90.13,30.275987,98.168498,2024-01-02T14:30:00,-30223918.26,1,4680485.352,-65128321.87,Bullish,0.0,0.95574493,0.96068533,0.9543142,2023-12-29 20:59:00+00:00,1209
1/2/2024,ETSY,2024-01-02 15:10:00+00:00,True,1/2/2024,2024-01-02 15:05:00+00:00,2024-01-02 15:00:00+00:00,80.61,81.988091,93.589744,2024-01-02T14:30:00,-1771418.212,1,1977158.981,-5519995.405,Bullish,0.347654561,0.828323361,0.830910281,0.762769021,2023-12-29 20:59:00+00:00,1210
1/2/2024,Z,2024-01-02 16:00:00+00:00,True,1/2/2024,2024-01-02 15:55:00+00:00,2024-01-02 15:00:00+00:00,57.53,48.689802,59.671115,2024-01-02T14:30:00,-101202.2139,1,530548.8125,-732953.2403,Bullish,0.611221318,0.74052912,0.871117202,0.740141885,2023-12-29 20:59:00+00:00,1211
1/4/2024,CEG,2024-01-04 15:05:00+00:00,True,1/4/2024,2024-01-04 15:00:00+00:00,2024-01-04 15:00:00+00:00,115.8,75.89845,96.965812,2024-01-04T14:30:00,764405.4444,1,1045750.117,483060.7721,Bullish,0.680017141,0.942072427,0.944007265,0.928460766,2024-01-03 20:59:00+00:00,1212
1/4/2024,CRM,2024-01-04 15:20:00+00:00,True,1/4/2024,2024-01-04 15:15:00+00:00,2024-01-04 15:00:00+00:00,250.255,0.241692,89.8779,2024-01-04T14:30:00,-583177.2089,1,1453001.792,-2619356.21,Bullish,0.055534246,0.813743564,0.813747848,0.449286414,2024-01-03 20:59:00+00:00,1213
1/4/2024,DIS,2024-01-04 15:50:00+00:00,True,1/4/2024,2024-01-04 15:45:00+00:00,2024-01-04 15:00:00+00:00,90.835,21.106259,78.431013,2024-01-04T14:30:00,-20846758.46,1,-5664164.009,-36029352.91,Bullish,0.460608032,0.742806724,0.883526637,0.742806724,2024-01-03 20:59:00+00:00,1214
1/4/2024,NKE,2024-01-04 15:05:00+00:00,True,1/4/2024,2024-01-04 15:00:00+00:00,2024-01-04 15:00:00+00:00,103.11,37.021277,99.91453,2024-01-04T14:30:00,-23888409.65,1,-12836976.85,-34939842.45,Bullish,0.484280797,0.923271141,0.923271141,0.871067846,2024-01-03 20:59:00+00:00,1215
1/4/2024,SPY,2024-01-04 15:10:00+00:00,True,1/4/2024,2024-01-04 15:05:00+00:00,2024-01-04 15:00:00+00:00,469.18,33.040023,91.074481,2024-01-04T14:30:00,-178794341.7,1,425355028.9,-782943712.4,Bullish,0.079207321,0.999359313,0.999374089,0.869091403,2024-01-03 20:59:00+00:00,1216
1/5/2024,EL,2024-01-05 19:10:00+00:00,True,1/5/2024,2024-01-05 19:05:00+00:00,2024-01-05 19:00:00+00:00,137.11,60.225545,98.583639,2024-01-05T18:30:00,186871.2406,1,672089.8561,-298347.3749,Bullish,0.507521178,0.824948048,0.824948048,0.556849069,2024-01-05 18:00:00+00:00,1217
1/5/2024,ONON,2024-01-05 18:35:00+00:00,True,1/5/2024,2024-01-05 18:30:00+00:00,2024-01-05 18:00:00+00:00,26.595,30.533055,69.194139,2024-01-05T16:30:00,-1813939.96,1,591696.4003,-4219576.32,Bullish,0.54407318,0.864487134,0.957216835,0.864486129,2024-01-05 17:00:00+00:00,1218
1/5/2024,STX,2024-01-05 20:55:00+00:00,True,1/5/2024,2024-01-05 20:50:00+00:00,2024-01-05 20:00:00+00:00,80.14,17.62157,99.91453,2024-01-05T18:30:00,-2135882.669,1,432739.7855,-4704505.124,Bullish,0.0,0.991004998,1.0,0.972071312,2024-01-05 19:00:00+00:00,1219
1/5/2024,SWTX,2024-01-05 18:35:00+00:00,True,1/5/2024,2024-01-05 18:30:00+00:00,2024-01-05 18:00:00+00:00,36.93,79.718568,82.466422,2024-01-05T16:30:00,840477.2444,1,1108647.335,572307.1539,Bullish,0.574533833,0.950391594,0.950391594,0.900695192,2024-01-05 17:00:00+00:00,1220
1/8/2024,NKE,2024-01-08 15:10:00+00:00,True,1/8/2024,2024-01-08 15:05:00+00:00,2024-01-08 15:00:00+00:00,101.78,71.205744,60.08547,2024-01-08T14:30:00,-15437963.35,1,-7866432.623,-23009494.08,Bullish,0.385877832,1.0,1.0,0.957236226,2024-01-05 20:59:00+00:00,1221
1/8/2024,SPOT,2024-01-08 15:35:00+00:00,True,1/8/2024,2024-01-08 15:30:00+00:00,2024-01-08 15:00:00+00:00,194.55,31.86945,88.821734,2024-01-08T14:30:00,-1460145.782,1,740763.7715,-3661055.335,Bullish,0.138750619,0.764076391,0.855771352,0.764076221,2024-01-05 20:59:00+00:00,1222
1/9/2024,AVGO,2024-01-09 16:30:00+00:00,True,1/9/2024,2024-01-09 16:25:00+00:00,2024-01-09 16:00:00+00:00,106.747,24.673311,87.069597,2024-01-09T14:30:00,-5124823.813,1,-1180541.134,-9069106.493,Bullish,0.103239156,0.902844938,0.902861773,0.825874181,2024-01-09 15:00:00+00:00,1223
1/9/2024,DKS,2024-01-09 15:05:00+00:00,True,1/9/2024,2024-01-09 15:00:00+00:00,2024-01-09 15:00:00+00:00,139.09,45.536519,98.388278,2024-01-09T14:30:00,-82020.3122,1,280134.9338,-444175.5582,Bullish,0.453877818,0.851690071,0.856297091,0.726727177,2024-01-08 20:59:00+00:00,1224
1/10/2024,AVGO,2024-01-10 15:15:00+00:00,True,1/10/2024,2024-01-10 15:10:00+00:00,2024-01-10 15:00:00+00:00,106.603,25.056806,90.02442,2024-01-10T14:30:00,-369639.6208,1,3586305.028,-4325584.269,Bullish,0.291516658,0.821327676,0.8579583,0.821312348,2024-01-09 20:59:00+00:00,1225
1/10/2024,BURL,2024-01-10 15:25:00+00:00,True,1/10/2024,2024-01-10 15:20:00+00:00,2024-01-10 15:00:00+00:00,197.065,98.173077,92.246642,2024-01-10T14:30:00,4090673.132,1,5605443.658,2575902.605,Bullish,0.881094019,1.0,1.0,0.700674462,2024-01-09 20:59:00+00:00,1226
1/10/2024,CRM,2024-01-10 19:25:00+00:00,True,1/10/2024,2024-01-10 19:20:00+00:00,2024-01-10 18:57:00+00:00,263.6,42.928686,89.224664,2024-01-10T18:30:00,1088626.814,1,3364568.038,-1187314.41,Bullish,0.501081928,0.956069918,0.958149863,0.900785932,2024-01-10 17:57:00+00:00,1227
1/10/2024,DKNG,2024-01-10 15:30:00+00:00,True,1/10/2024,2024-01-10 15:25:00+00:00,2024-01-10 15:00:00+00:00,33.66,34.950274,90.763126,2024-01-10T14:30:00,-1909734.307,1,2558756.692,-6378225.306,Bullish,0.364584271,0.899932788,0.946533349,0.899926083,2024-01-09 20:59:00+00:00,1228
1/10/2024,DKS,2024-01-10 15:35:00+00:00,True,1/10/2024,2024-01-10 15:30:00+00:00,2024-01-10 15:00:00+00:00,140.93,68.739566,93.485958,2024-01-10T14:30:00,79945.48683,1,410144.2705,-250253.2969,Bullish,0.691552536,0.971342141,0.97143696,0.830621355,2024-01-09 20:59:00+00:00,1229
