date,ticker,t,satisfied,date,trigger_t,t_hourly,close,ngex,eps,timestamp,vma,regime,uband,lband,trend,sm_ngex,sm_eps,max_eps_2d,min_eps_2d,signal_time
10/4/2023,BURL,2023-10-04 19:35:00+00:00,TRUE,10/4/2023,2023-10-04 19:30:00+00:00,2023-10-04 19:00:00+00:00,126.29,61.050061,98.986569,2023-10-04T17:30:00,-3288474.035,1,-2182183.102,-4394764.968,Bullish,0.306871286,1,1,0.903102668,2023-10-04 18:00:00+00:00
10/4/2023,EOG,2023-10-04 14:05:00+00:00,TRUE,10/4/2023,2023-10-04 14:00:00+00:00,2023-10-04 14:00:00+00:00,121.28,9.487179,98.534799,2023-10-04T13:30:00,-509353.7995,1,129048.7347,-1147756.334,Bullish,0.21497223,0.956667946,0.956667946,0.828232497,2023-10-03 19:59:00+00:00
10/4/2023,ETN,2023-10-04 15:50:00+00:00,TRUE,10/4/2023,2023-10-04 15:45:00+00:00,2023-10-04 15:00:00+00:00,206.68,38.589744,100,2023-10-04T13:30:00,2375679.351,1,3237240.33,1514118.373,Bullish,0.464511866,1,1,0.86836709,2023-10-04 14:00:00+00:00
10/4/2023,FSLR,2023-10-04 16:05:00+00:00,TRUE,10/4/2023,2023-10-04 16:00:00+00:00,2023-10-04 16:00:00+00:00,149.19,45.647131,96.288156,2023-10-04T15:30:00,-1407953.37,1,-931850.1103,-1884056.63,Bullish,0.333619023,0.989595187,0.99436164,0.982612415,2023-10-04 15:00:00+00:00
10/4/2023,KMB,2023-10-04 15:05:00+00:00,TRUE,10/4/2023,2023-10-04 15:00:00+00:00,2023-10-04 15:00:00+00:00,119.5892,27.851038,94.700855,2023-10-04T13:30:00,-759868.9185,1,-379047.8243,-1140690.013,Bullish,0.669715976,0.938345464,0.97092472,0.93754378,2023-10-04 14:00:00+00:00
10/4/2023,MCD,2023-10-04 18:40:00+00:00,TRUE,10/4/2023,2023-10-04 18:35:00+00:00,2023-10-04 18:00:00+00:00,254.55,31.391941,97.973138,2023-10-04T17:30:00,-2035098.89,1,-1213448.846,-2856748.935,Bullish,0.244734172,0.989379629,0.993435233,0.985456066,2023-10-04 17:00:00+00:00
10/4/2023,MGM,2023-10-04 15:30:00+00:00,TRUE,10/4/2023,2023-10-04 15:25:00+00:00,2023-10-04 15:00:00+00:00,35.17,20.018315,99.97558,2023-10-04T13:30:00,-6895277.31,1,-4090724.262,-9699830.359,Bullish,0.359014246,0.964785003,0.964785003,0.875483654,2023-10-04 14:00:00+00:00
10/4/2023,NEE,2023-10-04 15:50:00+00:00,TRUE,10/4/2023,2023-10-04 15:45:00+00:00,2023-10-04 15:00:00+00:00,51.105,39.426129,98.461538,2023-10-04T13:30:00,-1206473.363,1,2588445.073,-5001391.799,Bullish,0.423023412,0.969162443,0.982188907,0.966305139,2023-10-04 14:00:00+00:00
10/4/2023,SEDG,2023-10-04 16:20:00+00:00,TRUE,10/4/2023,2023-10-04 16:15:00+00:00,2023-10-04 16:00:00+00:00,119.545,66.813187,96.196581,2023-10-04T15:30:00,-798282.8148,1,-138127.9548,-1458437.675,Bullish,0.334369297,0.99654727,0.99654727,0.944612206,2023-10-04 15:00:00+00:00
10/4/2023,SLB,2023-10-04 18:15:00+00:00,TRUE,10/4/2023,2023-10-04 18:10:00+00:00,2023-10-04 18:00:00+00:00,55.57,31.733822,99.98779,2023-10-04T17:30:00,-991217.2771,1,1028272.666,-3010707.22,Bullish,0.392125737,1,1,0.842821699,2023-10-04 17:00:00+00:00
