date,ticker,t,satisfied,date.1,trigger_t,t_hourly,close,ngex,eps,timestamp,vma,regime,uband,lband,trend,sm_ngex,sm_eps,max_eps_2d,min_eps_2d,signal_time,signal_id
3/10/2025,DASH,2025-03-10 15:05:00+00:00,True,3/10/2025,2025-03-10 15:00:00+00:00,2025-03-10 14:59:00+00:00,171.4,23.614164,99.133089,2025-03-10T13:30:00,-1281629.479,1,-439741.3135,-2123517.645,Bullish,0.203550493,0.986180978,0.986183957,0.945819515,2025-03-10 13:58:00+00:00,3401
3/10/2025,DELL,2025-03-10 19:30:00+00:00,True,3/10/2025,2025-03-10 19:25:00+00:00,2025-03-10 18:58:00+00:00,88.97,33.626374,94.90232,2025-03-10T17:30:00,-4482916.611,1,-1821296.107,-7144537.115,Bullish,0.174262828,0.957411036,0.957411036,0.807586075,2025-03-10 17:59:00+00:00,3402
3/10/2025,DIS,2025-03-10 18:00:00+00:00,True,3/10/2025,2025-03-10 17:55:00+00:00,2025-03-10 16:58:00+00:00,102.725,9.554335,99.80464,2025-03-10T15:30:00,-3557333.587,1,3344308.78,-10458975.95,Bullish,0.021043445,1.0,1.0,0.914852339,2025-03-10 15:58:00+00:00,3403
3/10/2025,DLR,2025-03-10 19:30:00+00:00,True,3/10/2025,2025-03-10 19:25:00+00:00,2025-03-10 18:58:00+00:00,144.275,44.542125,99.97558,2025-03-10T17:30:00,-590396.9825,1,-199739.6527,-981054.3123,Bullish,0.274764601,1.0,1.0,0.939706892,2025-03-10 17:59:00+00:00,3404
3/10/2025,DOCU,2025-03-10 19:25:00+00:00,True,3/10/2025,2025-03-10 19:20:00+00:00,2025-03-10 18:58:00+00:00,77.145,83.107448,99.462759,2025-03-10T17:30:00,-1747377.376,1,-613656.9835,-2881097.768,Bullish,0.558325239,0.957008381,0.957008994,0.938308373,2025-03-10 17:59:00+00:00,3405
3/10/2025,EOG,2025-03-10 19:30:00+00:00,True,3/10/2025,2025-03-10 19:25:00+00:00,2025-03-10 18:58:00+00:00,125.24,54.444444,80.46398,2025-03-10T17:30:00,-232635.6297,1,317112.9913,-782384.2507,Bullish,0.489734944,0.795446991,0.894586703,0.795446991,2025-03-10 17:59:00+00:00,3406
3/10/2025,ETSY,2025-03-10 15:35:00+00:00,True,3/10/2025,2025-03-10 15:30:00+00:00,2025-03-10 14:59:00+00:00,48.345,29.279609,90.02442,2025-03-10T13:30:00,-4268924.19,1,24923035947.0,-24931573796.0,Bullish,0.157746549,0.971699693,0.972424218,0.959431553,2025-03-10 13:58:00+00:00,3407
3/10/2025,FANG,2025-03-10 14:45:00+00:00,True,3/10/2025,2025-03-10 14:40:00+00:00,2025-03-10 13:58:00+00:00,137.7,57.228327,99.95116,2025-03-10T13:30:00,-455147.3106,1,-127997.1305,-782297.4907,Bullish,0.458957855,0.983812118,1.0,0.977581876,2025-03-07 20:58:00+00:00,3408
3/10/2025,FTNT,2025-03-10 15:20:00+00:00,True,3/10/2025,2025-03-10 15:15:00+00:00,2025-03-10 14:58:00+00:00,96.785,51.245421,99.81685,2025-03-10T13:30:00,-428657.1458,1,157791.4025,-1015105.694,Bullish,0.237498464,0.984224265,0.984224522,0.970802428,2025-03-10 13:58:00+00:00,3409
3/10/2025,GDDY,2025-03-10 19:25:00+00:00,True,3/10/2025,2025-03-10 19:20:00+00:00,2025-03-10 18:58:00+00:00,172.62,68.693529,94.786325,2025-03-10T17:30:00,-538116.482,1,-298405.2014,-777827.7626,Bullish,0.567317558,0.864966902,0.914958424,0.864117486,2025-03-10 17:58:00+00:00,3410
3/10/2025,GE,2025-03-10 14:10:00+00:00,True,3/10/2025,2025-03-10 14:05:00+00:00,2025-03-10 13:58:00+00:00,189.6,15.0,99.181929,2025-03-10T13:30:00,-2914862.132,1,823104.959,-6652829.223,Bullish,0.000825847,0.983852774,0.983852774,0.901741222,2025-03-07 20:58:00+00:00,3411
