date,ticker,t,satisfied,date.1,trigger_t,t_hourly,close,ngex,eps,timestamp,vma,regime,uband,lband,trend,sm_ngex,sm_eps,max_eps_2d,min_eps_2d,signal_time,signal_id
2/14/2025,IRM,2025-02-14 20:20:00+00:00,True,2/14/2025,2025-02-14 20:15:00+00:00,2025-02-14 19:58:00+00:00,95.1,41.294261,97.899878,2025-02-14T18:30:00,-2467558.715,1,114171.151,-5049288.581,Bullish,0.075499838,0.981677971,0.981763211,0.688049925,2025-02-14 18:59:00+00:00,3201
2/14/2025,LMT,2025-02-14 17:30:00+00:00,True,2/14/2025,2025-02-14 17:25:00+00:00,2025-02-14 17:00:00+00:00,424.42,13.858364,99.85348,2025-02-14T16:30:00,-3087869.472,1,-1211670.32,-4964068.625,Bullish,0.176434646,0.985887799,0.987983566,0.934896915,2025-02-14 16:00:00+00:00,3202
2/14/2025,MRK,2025-02-14 15:55:00+00:00,True,2/14/2025,2025-02-14 15:50:00+00:00,2025-02-14 14:59:00+00:00,83.875,78.473748,100.0,2025-02-14T14:30:00,-1693506.163,1,4129784.261,-7516796.587,Bullish,0.550659678,0.926294076,0.969252675,0.926294076,2025-02-13 20:59:00+00:00,3203
2/18/2025,AMAT,2025-02-18 17:05:00+00:00,True,2/18/2025,2025-02-18 17:00:00+00:00,2025-02-18 16:58:00+00:00,170.62,5.506716,98.137973,2025-02-18T16:30:00,-12164974.63,1,6.81e+155,-6.81e+155,Bullish,0.165224711,0.829301233,0.838444631,0.571509801,2025-02-18 16:00:00+00:00,3204
2/18/2025,GOOGL,2025-02-18 20:15:00+00:00,True,2/18/2025,2025-02-18 20:10:00+00:00,2025-02-18 19:58:00+00:00,182.465,24.74359,99.371184,2025-02-18T18:30:00,11491335.23,1,34000436.48,-11017766.03,Bullish,0.354709683,0.872355334,0.924756716,0.872353083,2025-02-18 18:58:00+00:00,3205
2/18/2025,TTD,2025-02-18 15:55:00+00:00,True,2/18/2025,2025-02-18 15:50:00+00:00,2025-02-18 15:00:00+00:00,78.66,13.125763,99.80464,2025-02-18T14:30:00,-5266089.03,1,3018123.014,-13550301.07,Bullish,0.0,1.0,1.0,0.644473524,2025-02-14 20:58:00+00:00,3206
2/19/2025,BURL,2025-02-19 15:05:00+00:00,True,2/19/2025,2025-02-19 15:00:00+00:00,2025-02-19 14:54:00+00:00,244.08,68.742369,99.041514,2025-02-19T14:30:00,-327480.2279,1,258632.406,-913592.8618,Bullish,0.527384828,0.968903362,0.970727409,0.960865567,2025-02-18 20:58:00+00:00,3207
2/19/2025,CAR,2025-02-19 15:20:00+00:00,True,2/19/2025,2025-02-19 15:15:00+00:00,2025-02-19 14:59:00+00:00,95.515,91.251526,52.442002,2025-02-19T14:30:00,791867.7691,1,1395306.898,188428.6398,Bullish,0.823313183,0.605564148,0.828448985,0.605562031,2025-02-18 20:58:00+00:00,3208
2/19/2025,EMR,2025-02-19 15:10:00+00:00,True,2/19/2025,2025-02-19 15:05:00+00:00,2025-02-19 14:59:00+00:00,123.74,66.269841,98.223443,2025-02-19T14:30:00,1979456.811,1,3437053.907,521859.7151,Bullish,0.543628198,0.869299474,0.869299474,0.830715689,2025-02-18 20:58:00+00:00,3209
2/19/2025,NOW,2025-02-19 19:30:00+00:00,True,2/19/2025,2025-02-19 19:25:00+00:00,2025-02-19 18:59:00+00:00,981.59,12.905983,80.4884,2025-02-19T18:30:00,-1186241.493,1,290437.5666,-2662920.553,Bullish,0.13025844,0.76809796,0.81769078,0.767146708,2025-02-19 17:58:00+00:00,3210
2/19/2025,RNG,2025-02-19 16:00:00+00:00,True,2/19/2025,2025-02-19 15:55:00+00:00,2025-02-19 14:59:00+00:00,32.5,80.769231,96.746032,2025-02-19T14:30:00,68553.5005,1,218564.0741,-81457.07306,Bullish,0.620069698,0.831347726,0.831347726,0.471581122,2025-02-18 20:58:00+00:00,3211
2/19/2025,SEDG,2025-02-19 19:20:00+00:00,True,2/19/2025,2025-02-19 19:15:00+00:00,2025-02-19 18:58:00+00:00,20.5701,92.881563,96.959707,2025-02-19T18:30:00,597415.0288,1,1432905.049,-238074.9912,Bullish,0.815826027,1.0,1.0,0.871205236,2025-02-19 17:58:00+00:00,3212
2/19/2025,SNOW,2025-02-19 15:05:00+00:00,True,2/19/2025,2025-02-19 15:00:00+00:00,2025-02-19 14:59:00+00:00,188.4,88.962149,86.495726,2025-02-19T14:30:00,13567479.8,1,24583683.13,2551276.481,Bullish,0.827459021,0.949956084,0.971421323,0.905101506,2025-02-18 20:58:00+00:00,3213
2/19/2025,UAL,2025-02-19 15:05:00+00:00,True,2/19/2025,2025-02-19 15:00:00+00:00,2025-02-19 14:59:00+00:00,103.57,95.775336,36.984127,2025-02-19T14:30:00,-3160657.353,1,5025244.111,-11346558.82,Bullish,0.847987013,0.438684219,0.815590273,0.438684219,2025-02-18 20:58:00+00:00,3214
2/20/2025,AMAT,2025-02-20 19:10:00+00:00,True,2/20/2025,2025-02-20 19:05:00+00:00,2025-02-20 18:59:00+00:00,175.78,97.362637,45.323565,2025-02-20T18:30:00,-10091089.83,1,1.32e+155,-1.32e+155,Bullish,0.454783811,0.586860075,0.810594603,0.586860075,2025-02-20 17:58:00+00:00,3215
2/20/2025,BURL,2025-02-20 15:05:00+00:00,True,2/20/2025,2025-02-20 15:00:00+00:00,2025-02-20 15:00:00+00:00,239.5,58.034188,99.8779,2025-02-20T14:30:00,8140.835665,1,515605.5661,-499323.8947,Bullish,0.624104471,0.979379818,0.979379859,0.972700015,2025-02-19 20:59:00+00:00,3216
2/20/2025,JD,2025-02-20 17:00:00+00:00,True,2/20/2025,2025-02-20 16:55:00+00:00,2025-02-20 15:59:00+00:00,41.23,97.057387,35.39072,2025-02-20T14:30:00,15158153.8,1,23464818.89,6851488.714,Bullish,0.881427921,0.883829885,0.884437023,0.641293592,2025-02-20 15:00:00+00:00,3217
2/20/2025,RNG,2025-02-20 16:05:00+00:00,True,2/20/2025,2025-02-20 16:00:00+00:00,2025-02-20 15:59:00+00:00,30.53,83.528694,100.0,2025-02-20T14:30:00,109938.7553,1,223485.8127,-3608.302177,Bullish,0.816768352,1.0,1.0,0.704218439,2025-02-20 15:00:00+00:00,3218
2/20/2025,SEDG,2025-02-20 16:25:00+00:00,True,2/20/2025,2025-02-20 16:20:00+00:00,2025-02-20 15:59:00+00:00,17.435,77.020757,94.224664,2025-02-20T14:30:00,1017274.943,1,1911866.086,122683.7989,Bullish,0.850816345,0.996900977,1.0,0.96864674,2025-02-20 15:00:00+00:00,3219
2/20/2025,SNV,2025-02-20 15:25:00+00:00,True,2/20/2025,2025-02-20 15:20:00+00:00,2025-02-20 15:00:00+00:00,54.08,94.499389,97.191697,2025-02-20T14:30:00,-28229.1043,1,420478.2542,-476936.4628,Bullish,0.76753205,0.682581042,0.840872695,0.68257854,2025-02-19 20:58:00+00:00,3220
2/20/2025,TSM,2025-02-20 17:05:00+00:00,True,2/20/2025,2025-02-20 17:00:00+00:00,2025-02-20 16:58:00+00:00,198.9225,74.139194,95.286935,2025-02-20T16:30:00,6374294.12,1,19765395.39,-7016807.148,Bullish,0.984809748,0.947526947,0.950764015,0.932710961,2025-02-20 15:59:00+00:00,3221
2/20/2025,TWLO,2025-02-20 16:55:00+00:00,True,2/20/2025,2025-02-20 16:50:00+00:00,2025-02-20 15:59:00+00:00,116.64,57.057387,100.0,2025-02-20T14:30:00,1059830.585,1,3624281.202,-1504620.032,Bullish,0.717964367,1.0,1.0,0.898796228,2025-02-20 15:00:00+00:00,3222
2/21/2025,APO,2025-02-21 19:30:00+00:00,True,2/21/2025,2025-02-21 19:25:00+00:00,2025-02-21 18:59:00+00:00,150.55,11.733822,99.91453,2025-02-21T18:30:00,-3118944.825,1,-1046818.874,-5191070.775,Bullish,0.0,0.980415317,0.980415317,0.85396627,2025-02-21 17:59:00+00:00,3223
2/21/2025,DAL,2025-02-21 18:05:00+00:00,True,2/21/2025,2025-02-21 18:00:00+00:00,2025-02-21 17:58:00+00:00,60.635,10.39072,99.98779,2025-02-21T16:30:00,-267463.15,1,4922945.979,-5457872.279,Bullish,0.091763471,0.945497842,0.94600633,0.889027319,2025-02-21 16:59:00+00:00,3224
2/21/2025,IP,2025-02-21 20:10:00+00:00,True,2/21/2025,2025-02-21 20:05:00+00:00,2025-02-21 19:58:00+00:00,55.0807,99.041514,98.168498,2025-02-21T18:30:00,4419083.297,1,6698961.056,2139205.538,Bullish,0.809852351,0.900495534,0.903483169,0.831128576,2025-02-21 18:59:00+00:00,3225
2/21/2025,KKR,2025-02-21 20:35:00+00:00,True,2/21/2025,2025-02-21 20:30:00+00:00,2025-02-21 19:58:00+00:00,131.19,42.271062,99.67033,2025-02-21T18:30:00,-460078.3389,1,487497.0998,-1407653.778,Bullish,0.335133201,0.993304799,0.994078117,0.941502791,2025-02-21 18:59:00+00:00,3226
2/21/2025,ONON,2025-02-21 16:20:00+00:00,True,2/21/2025,2025-02-21 16:15:00+00:00,2025-02-21 15:58:00+00:00,49.85,24.810745,99.58486,2025-02-21T14:30:00,-4395402.724,1,2.87e+30,-2.87e+30,Bullish,0.153356588,0.959474066,0.959474066,0.931705807,2025-02-21 15:00:00+00:00,3227
2/21/2025,SNV,2025-02-21 18:20:00+00:00,True,2/21/2025,2025-02-21 18:15:00+00:00,2025-02-21 17:58:00+00:00,52.78,99.98779,100.0,2025-02-21T16:30:00,874691.9739,1,2340147.496,-590763.5484,Bullish,0.941457412,0.903970279,0.90434551,0.784445276,2025-02-21 16:59:00+00:00,3228
