date,ticker,t,satisfied,date,trigger_t,t_hourly,close,ngex,eps,timestamp,vma,regime,uband,lband,trend,sm_ngex,sm_eps,max_eps_2d,min_eps_2d,signal_time
6/5/2023,ABBV,2023-06-05 19:55:00+00:00,TRUE,6/5/2023,2023-06-05 19:50:00+00:00,2023-06-05 19:00:00+00:00,136.41,74.945055,87.448107,2023-06-05T17:30:00,1343732.321,1,3710689.125,-1023224.484,Bullish,0.705654252,0.8761997,0.927487062,0.872170901,2023-06-05 18:00:00+00:00
6/5/2023,ASO,2023-06-05 15:20:00+00:00,TRUE,6/5/2023,2023-06-05 15:15:00+00:00,2023-06-05 15:00:00+00:00,49.005,40.891331,86.837607,2023-06-05T13:30:00,143300.7874,1,867651.3551,-581049.7804,Bullish,0.300260527,0.807359617,0.928130693,0.807357527,2023-06-05 14:00:00+00:00
6/5/2023,DE,2023-06-05 14:10:00+00:00,TRUE,6/5/2023,2023-06-05 14:05:00+00:00,2023-06-05 14:00:00+00:00,368.16,62.222222,73.528694,2023-06-05T13:30:00,2262138.956,1,6014290.861,-1490012.949,Bullish,0.530128751,0.766082141,0.907870814,0.766082141,2023-06-02 19:59:00+00:00
6/5/2023,DG,2023-06-05 14:35:00+00:00,TRUE,6/5/2023,2023-06-05 14:30:00+00:00,2023-06-05 14:00:00+00:00,162.715,35.421245,99.169719,2023-06-05T13:30:00,-1016033.457,1,658202.3724,-2690269.285,Bullish,0.159630299,0.96166315,0.961663945,0.950255476,2023-06-02 19:59:00+00:00
6/5/2023,ELF,2023-06-05 18:05:00+00:00,TRUE,6/5/2023,2023-06-05 18:00:00+00:00,2023-06-05 18:00:00+00:00,104.69,11.123321,93.394383,2023-06-05T17:30:00,444976.3655,1,686328.1362,203624.5948,Bullish,0.061634341,0.876956296,0.87696446,0.313110993,2023-06-05 17:00:00+00:00
6/5/2023,FDX,2023-06-05 19:40:00+00:00,TRUE,6/5/2023,2023-06-05 19:35:00+00:00,2023-06-05 19:00:00+00:00,221.55,40.09768,84.499389,2023-06-05T17:30:00,-837973.9405,1,974847.681,-2650795.562,Bullish,0.252793389,0.827861416,0.92722955,0.827861082,2023-06-05 17:59:00+00:00
6/5/2023,HSY,2023-06-05 18:20:00+00:00,TRUE,6/5/2023,2023-06-05 18:15:00+00:00,2023-06-05 18:00:00+00:00,257.69,38.449328,93.400488,2023-06-05T17:30:00,-524263.009,1,-153111.2746,-895414.7434,Bullish,0.600920442,0.820961818,0.839778791,0.817987777,2023-06-05 17:00:00+00:00
6/5/2023,LEN,2023-06-05 14:20:00+00:00,TRUE,6/5/2023,2023-06-05 14:15:00+00:00,2023-06-05 14:00:00+00:00,110.62,24.786325,5.873016,2023-06-05T13:30:00,488345.8287,1,1279911.225,-303219.5676,Bullish,0.30417008,0.679369432,0.86999273,0.679040432,2023-06-02 19:59:00+00:00
6/5/2023,MMM,2023-06-05 14:40:00+00:00,TRUE,6/5/2023,2023-06-05 14:35:00+00:00,2023-06-05 14:00:00+00:00,102.0591,70.43956,13.199023,2023-06-05T13:30:00,-1756813.642,1,429077.7365,-3942705.02,Bullish,0.582391923,0.497907777,0.847335544,0.497907777,2023-06-02 19:59:00+00:00
6/5/2023,MU,2023-06-05 16:00:00+00:00,TRUE,6/5/2023,2023-06-05 15:55:00+00:00,2023-06-05 15:00:00+00:00,67.815,69.432234,66.367521,2023-06-05T13:30:00,-1956838.365,1,5170284.054,-9083960.785,Bullish,0.496091434,0.84606232,0.862705782,0.839647016,2023-06-05 14:00:00+00:00
6/5/2023,SBUX,2023-06-05 19:40:00+00:00,TRUE,6/5/2023,2023-06-05 19:35:00+00:00,2023-06-05 19:00:00+00:00,99.985,52.826618,61.544567,2023-06-05T17:30:00,3247972.104,1,8570545.087,-2074600.879,Bullish,0.594494534,0.672882319,0.854965307,0.672865215,2023-06-05 18:00:00+00:00
6/5/2023,SE,2023-06-05 16:50:00+00:00,TRUE,6/5/2023,2023-06-05 16:45:00+00:00,2023-06-05 16:00:00+00:00,58.63,44.896215,89.084249,2023-06-05T15:30:00,-36073.27863,1,1122218.8,-1194365.357,Bullish,0.322510573,0.857316455,0.945723056,0.857252525,2023-06-05 15:00:00+00:00
6/6/2023,BURL,2023-06-06 14:05:00+00:00,TRUE,6/6/2023,2023-06-06 14:00:00+00:00,2023-06-06 14:00:00+00:00,149.31,56.043956,78.577534,2023-06-06T13:30:00,-3427900.879,1,-697219.717,-6158582.041,Bullish,0.277195314,0.798393911,0.923995859,0.798393911,2023-06-05 19:59:00+00:00
6/6/2023,DASH,2023-06-06 14:15:00+00:00,TRUE,6/6/2023,2023-06-06 14:10:00+00:00,2023-06-06 14:00:00+00:00,68.65,67.967033,92.350427,2023-06-06T13:30:00,5607633.895,1,8421605.277,2793662.514,Bullish,0.504433518,0.99648215,0.999589639,0.812711631,2023-06-05 19:59:00+00:00
6/6/2023,FDX,2023-06-06 14:05:00+00:00,TRUE,6/6/2023,2023-06-06 14:00:00+00:00,2023-06-06 14:00:00+00:00,219.2274,36.324786,91.587302,2023-06-06T13:30:00,617189.0537,1,2430514.042,-1196135.935,Bullish,0.319261519,0.818699435,0.937618616,0.818695071,2023-06-05 19:59:00+00:00
6/6/2023,VRTX,2023-06-06 17:15:00+00:00,TRUE,6/6/2023,2023-06-06 17:10:00+00:00,2023-06-06 17:00:00+00:00,331,43.333333,77.179487,2023-06-06T15:30:00,-217080.4871,1,-42719.03859,-391441.9357,Bullish,0.459489764,0.654725,0.82869368,0.654682998,2023-06-06 16:00:00+00:00
6/7/2023,BILL,2023-06-07 15:35:00+00:00,TRUE,6/7/2023,2023-06-07 15:30:00+00:00,2023-06-07 15:00:00+00:00,114.845,80.781441,95.35409,2023-06-07T13:30:00,197908.9106,1,675678.1082,-279860.287,Bullish,0.38110054,0.991755112,0.992765314,0.9891379,2023-06-07 14:00:00+00:00
6/7/2023,CBOE,2023-06-07 15:40:00+00:00,TRUE,6/7/2023,2023-06-07 15:35:00+00:00,2023-06-07 14:59:00+00:00,132.2,33.333333,94.163614,2023-06-07T13:30:00,32464.22006,1,80538.54893,-15610.10881,Bullish,0.253935397,0.882379663,0.892743296,0.882378004,2023-06-07 14:00:00+00:00
6/7/2023,EL,2023-06-07 15:35:00+00:00,TRUE,6/7/2023,2023-06-07 15:30:00+00:00,2023-06-07 15:00:00+00:00,180.92,18.913309,94.58486,2023-06-07T13:30:00,-3165583.219,1,-2432391.06,-3898775.379,Bullish,0.119055756,0.906941828,0.907456376,0.813040682,2023-06-07 14:00:00+00:00
6/7/2023,ELF,2023-06-07 15:35:00+00:00,TRUE,6/7/2023,2023-06-07 15:30:00+00:00,2023-06-07 15:00:00+00:00,105.755,15.897436,91.013431,2023-06-07T13:30:00,689828.4515,1,859065.5826,520591.3204,Bullish,0.165361592,1,1,0.745587145,2023-06-07 14:00:00+00:00
6/7/2023,FDX,2023-06-07 17:45:00+00:00,TRUE,6/7/2023,2023-06-07 17:40:00+00:00,2023-06-07 17:00:00+00:00,221.73,35.506716,76.275946,2023-06-07T15:30:00,2417438.977,1,4040638.214,794239.7388,Bullish,0.433625664,0.852978368,0.857553402,0.840228098,2023-06-07 16:00:00+00:00
6/7/2023,GTLB,2023-06-07 14:35:00+00:00,TRUE,6/7/2023,2023-06-07 14:30:00+00:00,2023-06-07 14:00:00+00:00,48.99,90.793651,100,2023-06-07T13:30:00,1395952.419,1,2210125.83,581779.0094,Bullish,0.816863397,0.893095974,0.893525675,0.810678172,2023-06-06 19:59:00+00:00
6/7/2023,PATH,2023-06-07 15:25:00+00:00,TRUE,6/7/2023,2023-06-07 15:20:00+00:00,2023-06-07 15:00:00+00:00,18.92,69.004884,91.001221,2023-06-07T13:30:00,1876297.845,1,3171107.703,581487.9878,Bullish,0.637920679,0.98726222,0.988047812,0.986174624,2023-06-07 14:00:00+00:00
6/7/2023,SE,2023-06-07 19:55:00+00:00,TRUE,6/7/2023,2023-06-07 19:50:00+00:00,2023-06-07 19:00:00+00:00,60.745,56.532357,72.362637,2023-06-07T17:30:00,2319196.883,1,2976484.12,1661909.646,Bullish,0.589018089,0.739587681,0.808825997,0.738985481,2023-06-07 18:00:00+00:00
6/8/2023,CPRI,2023-06-08 16:45:00+00:00,TRUE,6/8/2023,2023-06-08 16:40:00+00:00,2023-06-08 16:00:00+00:00,38.085,89.133089,77.442002,2023-06-08T15:30:00,33812.60037,1,894380.9196,-826755.7189,Bullish,0.984075467,0.76463002,0.881112465,0.76463002,2023-06-08 15:00:00+00:00
6/9/2023,BILL,2023-06-09 17:00:00+00:00,TRUE,6/9/2023,2023-06-09 16:55:00+00:00,2023-06-09 16:00:00+00:00,115.23,85.738706,92.332112,2023-06-09T15:30:00,938436.7292,1,1568224.562,308648.8964,Bullish,0.789842292,0.933188328,0.96551789,0.933188328,2023-06-09 15:00:00+00:00
6/9/2023,CRM,2023-06-09 17:40:00+00:00,TRUE,6/9/2023,2023-06-09 17:35:00+00:00,2023-06-09 17:00:00+00:00,213.74,91.001221,70.347985,2023-06-09T15:30:00,7583948.858,1,15512642.38,-344744.6682,Bullish,0.465598349,0.880721889,0.881420101,0.613233889,2023-06-09 16:00:00+00:00
6/9/2023,EL,2023-06-09 14:15:00+00:00,TRUE,6/9/2023,2023-06-09 14:10:00+00:00,2023-06-09 14:00:00+00:00,178.21,5.006105,99.59707,2023-06-09T13:30:00,-2657582.208,1,-2317089.874,-2998074.542,Bullish,0.073367417,0.90517373,0.923059768,0.90517373,2023-06-08 19:59:00+00:00
6/9/2023,WOLF,2023-06-09 17:40:00+00:00,TRUE,6/9/2023,2023-06-09 17:35:00+00:00,2023-06-09 17:00:00+00:00,52.855,12.918193,90.775336,2023-06-09T15:30:00,867677.1561,1,971886.8541,763467.4582,Bullish,0.202136735,0.955612291,0.96189009,0.861377109,2023-06-09 16:00:00+00:00
6/9/2023,ZS,2023-06-09 18:05:00+00:00,TRUE,6/9/2023,2023-06-09 18:00:00+00:00,2023-06-09 18:00:00+00:00,150.775,100,97.936508,2023-06-09T17:30:00,2942026.648,1,5505354.639,378698.6572,Bullish,0.798979713,0.96622238,0.97145751,0.962449895,2023-06-09 16:59:00+00:00
6/12/2023,MRK,2023-06-12 14:25:00+00:00,TRUE,6/12/2023,2023-06-12 14:20:00+00:00,2023-06-12 14:00:00+00:00,109.795,57.442002,88.998779,2023-06-12T13:30:00,-3552538.672,1,3442765.151,-10547842.49,Bullish,0.049962169,0.738975619,0.890528701,0.738940597,2023-06-09 19:59:00+00:00
6/12/2023,PEP,2023-06-12 14:30:00+00:00,TRUE,6/12/2023,2023-06-12 14:25:00+00:00,2023-06-12 14:00:00+00:00,181.02,17.399267,96.398046,2023-06-12T13:30:00,-2669042.29,1,2624708.16,-7962792.739,Bullish,0,0.827313623,0.943712149,0.82728662,2023-06-09 19:59:00+00:00
6/13/2023,ELF,2023-06-13 18:25:00+00:00,TRUE,6/13/2023,2023-06-13 18:20:00+00:00,2023-06-13 18:00:00+00:00,101.29,20.775336,95.286935,2023-06-13T17:30:00,926871.3535,1,1253364.039,600378.6683,Bullish,0.146349211,0.854164206,0.876999334,0.853956294,2023-06-13 17:00:00+00:00
6/13/2023,FSLR,2023-06-13 17:50:00+00:00,TRUE,6/13/2023,2023-06-13 17:45:00+00:00,2023-06-13 17:00:00+00:00,196.27,77.277167,82.686203,2023-06-13T15:30:00,-1044632.107,1,1046173.713,-3135437.927,Bullish,0.816497556,0.79578438,0.838988796,0.795546243,2023-06-13 16:00:00+00:00
6/13/2023,SHOP,2023-06-13 16:45:00+00:00,TRUE,6/13/2023,2023-06-13 16:40:00+00:00,2023-06-13 16:00:00+00:00,64.18,87.130647,94.945055,2023-06-13T15:30:00,16444230.05,1,25310850.41,7577609.692,Bullish,0.876736263,0.947581585,0.949879247,0.637309228,2023-06-13 15:00:00+00:00
6/13/2023,TWLO,2023-06-13 19:10:00+00:00,TRUE,6/13/2023,2023-06-13 19:05:00+00:00,2023-06-13 19:00:00+00:00,66.545,94.871795,76.202686,2023-06-13T17:30:00,4603038.925,1,6853454.608,2352623.243,Bullish,0.960058966,0.804979991,0.804980719,0.711680706,2023-06-13 18:00:00+00:00
6/14/2023,DASH,2023-06-14 15:20:00+00:00,TRUE,6/14/2023,2023-06-14 15:15:00+00:00,2023-06-14 15:00:00+00:00,70.655,94.200244,80.866911,2023-06-14T13:30:00,11289588.35,1,13470786.48,9108390.22,Bullish,0.934112765,0.981180189,0.983952143,0.975525037,2023-06-14 14:00:00+00:00
