date,ticker,t,satisfied,date,trigger_t,t_hourly,close,ngex,eps,timestamp,vma,regime,uband,lband,trend,sm_ngex,sm_eps,max_eps_2d,min_eps_2d,signal_time
5/3/2024,SNOW,2024-05-03 19:10:00+00:00,TRUE,5/3/2024,2024-05-03 19:05:00+00:00,2024-05-03 19:00:00+00:00,159.62,95.46398,99.224664,2024-05-03T17:30:00,14345689.61,1,21973792.9,6717586.308,Bullish,0.897157016,0.923554277,0.924999702,0.852432241,2024-05-03 18:00:00+00:00
5/3/2024,WDAY,2024-05-03 15:35:00+00:00,TRUE,5/3/2024,2024-05-03 15:30:00+00:00,2024-05-03 15:00:00+00:00,253.8959,99.365079,66.984127,2024-05-03T13:30:00,140943.9683,1,1971448.274,-1689560.338,Bullish,0.883067561,0.828666357,0.951276649,0.828666357,2024-05-03 14:00:00+00:00
5/6/2024,ABT,2024-05-06 17:40:00+00:00,TRUE,5/6/2024,2024-05-06 17:35:00+00:00,2024-05-06 17:00:00+00:00,105.34,80.842491,94.59707,2024-05-06T15:30:00,-1923623.897,1,810298.9541,-4657546.749,Bullish,0.502743707,0.900404641,0.900404641,0.874071588,2024-05-06 16:00:00+00:00
5/6/2024,BILL,2024-05-06 15:00:00+00:00,TRUE,5/6/2024,2024-05-06 14:55:00+00:00,2024-05-06 14:00:00+00:00,56.8,18.412698,99.98779,2024-05-06T13:30:00,-1832316.333,1,1127494.321,-4792126.986,Bullish,0.22076136,0.855342707,0.857333067,0.583102394,2024-05-03 19:59:00+00:00
5/6/2024,BKNG,2024-05-06 19:30:00+00:00,TRUE,5/6/2024,2024-05-06 19:25:00+00:00,2024-05-06 19:00:00+00:00,3548.95,75.848596,87.277167,2024-05-06T17:30:00,445009.7992,1,1100664.971,-210645.3723,Bullish,0.684229614,0.839327924,0.900810497,0.838881022,2024-05-06 18:00:00+00:00
5/6/2024,DE,2024-05-06 17:50:00+00:00,TRUE,5/6/2024,2024-05-06 17:45:00+00:00,2024-05-06 17:00:00+00:00,400.11,73.882784,43.919414,2024-05-06T15:30:00,-756864.0487,1,186438.7598,-1700166.857,Bullish,0.838273309,0.495859528,0.804450883,0.495859528,2024-05-06 16:00:00+00:00
5/6/2024,DG,2024-05-06 16:15:00+00:00,TRUE,5/6/2024,2024-05-06 16:10:00+00:00,2024-05-06 16:00:00+00:00,134.76,75.873016,99.932845,2024-05-06T15:30:00,-4727457.219,1,-2885660.273,-6569254.164,Bullish,0.51905408,0.949937477,0.966075462,0.949937477,2024-05-06 15:00:00+00:00
5/6/2024,GEHC,2024-05-06 14:55:00+00:00,TRUE,5/6/2024,2024-05-06 14:50:00+00:00,2024-05-06 14:00:00+00:00,79.14,94.603175,86.007326,2024-05-06T13:30:00,-11765.72841,1,937501.6491,-961033.1059,Bullish,0.834168157,0.85728166,0.96201843,0.857281267,2024-05-03 19:59:00+00:00
5/7/2024,ROKU,2024-05-07 19:40:00+00:00,TRUE,5/7/2024,2024-05-07 19:35:00+00:00,2024-05-07 19:00:00+00:00,59.96,92.844933,90.506716,2024-05-07T17:30:00,4189703.238,1,6214950.385,2164456.092,Bullish,0.868676925,0.954700304,0.960534879,0.951171056,2024-05-07 18:00:00+00:00
5/8/2024,CZR,2024-05-08 14:45:00+00:00,TRUE,5/8/2024,2024-05-08 14:40:00+00:00,2024-05-08 14:00:00+00:00,36.04,62.045177,92.496947,2024-05-08T13:30:00,-5810763.572,1,-3751376.123,-7870151.021,Bullish,0.736725779,0.907191039,0.960206798,0.907190094,2024-05-07 19:59:00+00:00
5/10/2024,W,2024-05-10 15:00:00+00:00,TRUE,5/10/2024,2024-05-10 14:55:00+00:00,2024-05-10 14:00:00+00:00,71.2316,87.912088,96.642247,2024-05-10T13:30:00,4862719.121,1,5947740.296,3777697.946,Bullish,0.870288318,0.972227124,0.985522973,0.972227124,2024-05-09 19:59:00+00:00
5/13/2024,DKS,2024-05-13 15:50:00+00:00,TRUE,5/13/2024,2024-05-13 15:45:00+00:00,2024-05-13 15:00:00+00:00,197.88,90.03663,79.60928,2024-05-13T13:30:00,-239387.4582,1,310617.2646,-789392.1809,Bullish,0.550060809,0.878000298,0.885602134,0.712127829,2024-05-13 14:00:00+00:00
5/13/2024,DXCM,2024-05-13 16:05:00+00:00,TRUE,5/13/2024,2024-05-13 16:00:00+00:00,2024-05-13 16:00:00+00:00,125.29,90.02442,92.619048,2024-05-13T15:30:00,1185508.37,1,2838572.084,-467555.3441,Bullish,0.436299938,0.804413055,0.80484797,0.731339115,2024-05-13 15:00:00+00:00
5/13/2024,MRNA,2024-05-13 16:45:00+00:00,TRUE,5/13/2024,2024-05-13 16:40:00+00:00,2024-05-13 16:00:00+00:00,122.62,7.973138,83.449328,2024-05-13T15:30:00,-774418.0002,1,5714029.798,-7262865.798,Bullish,0.254210807,0.758471936,0.825457903,0.758469943,2024-05-13 15:00:00+00:00
5/13/2024,SMCI,2024-05-13 14:30:00+00:00,TRUE,5/13/2024,2024-05-13 14:25:00+00:00,2024-05-13 14:00:00+00:00,77.638,40.940171,99.82906,2024-05-13T13:30:00,-5018699.729,1,5010771.45,-15048170.91,Bullish,0.117238144,0.977344621,0.977428941,0.955429972,2024-05-10 19:59:00+00:00
5/14/2024,CVNA,2024-05-14 16:15:00+00:00,TRUE,5/14/2024,2024-05-14 16:10:00+00:00,2024-05-14 16:00:00+00:00,119.045,89.438339,95.897436,2024-05-14T15:30:00,735.0904201,1,4140898.833,-4139428.653,Bullish,0.703869874,0.959725448,0.973453879,0.959725448,2024-05-14 15:00:00+00:00
5/14/2024,DIS,2024-05-14 15:10:00+00:00,TRUE,5/14/2024,2024-05-14 15:05:00+00:00,2024-05-14 15:00:00+00:00,105.52,70.818071,75.20757,2024-05-14T13:30:00,7871504.417,1,27952738.43,-12209729.6,Bullish,0.622717923,0.861992091,0.895744522,0.860164015,2024-05-14 14:00:00+00:00
5/14/2024,ROKU,2024-05-14 17:35:00+00:00,TRUE,5/14/2024,2024-05-14 17:30:00+00:00,2024-05-14 17:00:00+00:00,62.78,97.582418,97.557998,2024-05-14T15:30:00,1979538.938,1,6473841.213,-2514763.336,Bullish,0.507067852,0.854061752,0.859372404,0.788679096,2024-05-14 16:00:00+00:00
5/14/2024,SYM,2024-05-14 18:05:00+00:00,TRUE,5/14/2024,2024-05-14 18:00:00+00:00,2024-05-14 18:00:00+00:00,44.725,89.291819,89.700855,2024-05-14T17:30:00,1974794.532,1,2912308.442,1037280.622,Bullish,0.691504444,0.930510516,1,0.930510505,2024-05-14 17:00:00+00:00
5/15/2024,CBOE,2024-05-15 15:00:00+00:00,TRUE,5/15/2024,2024-05-15 14:55:00+00:00,2024-05-15 14:00:00+00:00,179.8,97.997558,89.5116,2024-05-15T13:30:00,816306.945,1,1892209.41,-259595.5205,Bullish,0.982833113,0.856079267,0.856079267,0.544599738,2024-05-14 19:59:00+00:00
5/15/2024,ROKU,2024-05-15 16:35:00+00:00,TRUE,5/15/2024,2024-05-15 16:30:00+00:00,2024-05-15 16:00:00+00:00,61.7022,91.379731,93.748474,2024-05-15T15:30:00,4762044.706,1,9024509.452,499579.9602,Bullish,0.885132301,0.98959835,0.98959835,0.824005399,2024-05-15 15:00:00+00:00
5/16/2024,CVNA,2024-05-16 19:20:00+00:00,TRUE,5/16/2024,2024-05-16 19:15:00+00:00,2024-05-16 19:00:00+00:00,118.07,48.705739,83.192918,2024-05-16T17:30:00,4779101.59,1,8507552.744,1050650.437,Bullish,0.849346869,0.935264876,0.955111696,0.933910865,2024-05-16 18:00:00+00:00
5/16/2024,OKTA,2024-05-16 15:10:00+00:00,TRUE,5/16/2024,2024-05-16 15:05:00+00:00,2024-05-16 15:00:00+00:00,99.56,99.68254,99.090354,2024-05-16T13:30:00,5480002.471,1,7676554.786,3283450.155,Bullish,1,0.95570988,0.955724028,0.891916966,2024-05-16 14:00:00+00:00
5/16/2024,WMT,2024-05-16 15:50:00+00:00,TRUE,5/16/2024,2024-05-16 15:45:00+00:00,2024-05-16 15:00:00+00:00,63.325,96.947497,0.940171,2024-05-16T13:30:00,52738446.28,1,69282075.35,36194817.2,Bullish,0.825201822,0.906115084,0.906121225,0.419712986,2024-05-16 14:00:00+00:00
